Time,Good Signal Quality(0-100),Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,High Gamma
2024/01/15_09:10:00,100,38,72,3.5,12.4,18.2,9.6,4.1,2.8,3.2,2.1
2024/01/15_09:10:01,100,35,76,4.1,13.8,19.7,10.4,3.6,2.4,2.9,1.8
2024/01/15_09:10:02,100,41,69,2.9,11.2,16.8,8.9,4.8,3.2,3.6,2.4
2024/01/15_09:10:03,100,33,79,4.6,14.5,21.0,11.1,3.2,2.1,2.6,1.6
2024/01/15_09:10:04,100,37,74,3.8,12.9,18.9,10.0,3.9,2.6,3.1,2.0
2024/01/15_09:10:05,100,30,83,5.2,15.8,22.4,12.0,2.8,1.8,2.3,1.4
2024/01/15_09:10:06,100,36,77,4.0,13.3,19.4,10.3,3.7,2.5,3.0,1.9
2024/01/15_09:10:07,100,39,71,3.2,11.7,17.4,9.2,4.4,3.0,3.4,2.2
2024/01/15_09:10:08,100,32,81,4.9,15.1,21.7,11.5,3.0,2.0,2.5,1.5
2024/01/15_09:10:09,100,34,78,4.3,14.0,20.2,10.7,3.4,2.3,2.8,1.7
2024/01/15_09:10:10,100,29,85,5.5,16.2,23.1,12.4,2.6,1.7,2.2,1.3
2024/01/15_09:10:11,100,37,73,3.7,12.6,18.6,9.8,4.0,2.7,3.2,2.0
2024/01/15_09:10:12,100,31,82,4.7,14.7,21.3,11.3,3.1,2.1,2.5,1.5
2024/01/15_09:10:13,100,40,70,3.0,11.4,17.0,9.0,4.6,3.1,3.5,2.3
2024/01/15_09:10:14,100,35,76,4.1,13.5,19.9,10.5,3.6,2.4,2.9,1.8
2024/01/15_09:10:15,100,28,87,5.8,16.7,23.8,12.8,2.4,1.6,2.1,1.2
2024/01/15_09:10:16,100,36,75,3.9,13.0,19.1,10.1,3.8,2.6,3.0,1.9
2024/01/15_09:10:17,100,33,80,4.5,14.3,20.8,11.0,3.3,2.2,2.7,1.6
2024/01/15_09:10:18,100,38,73,3.4,12.1,17.9,9.4,4.2,2.9,3.3,2.1
2024/01/15_09:10:19,100,27,89,6.1,17.2,24.5,13.2,2.2,1.5,2.0,1.1
2024/01/15_09:10:20,100,34,77,4.2,13.7,20.0,10.6,3.5,2.3,2.8,1.7
2024/01/15_09:10:21,100,30,84,5.3,16.0,22.8,12.2,2.7,1.8,2.3,1.4
2024/01/15_09:10:22,100,37,74,3.8,12.8,18.8,9.9,4.0,2.7,3.1,2.0
2024/01/15_09:10:23,100,32,80,4.8,14.9,21.5,11.4,3.1,2.1,2.5,1.5
2024/01/15_09:10:24,100,26,91,6.4,17.8,25.2,13.6,2.1,1.4,1.9,1.0
2024/01/15_09:10:25,100,35,76,4.0,13.4,19.6,10.4,3.7,2.5,2.9,1.8
2024/01/15_09:10:26,100,29,86,5.6,16.4,23.4,12.6,2.5,1.7,2.2,1.3
2024/01/15_09:10:27,100,36,74,3.9,12.7,18.5,9.8,3.9,2.6,3.1,1.9
2024/01/15_09:10:28,100,31,82,4.7,15.0,21.9,11.6,3.0,2.0,2.4,1.5
2024/01/15_09:10:29,100,27,88,6.0,17.5,24.9,13.4,2.2,1.5,2.0,1.1
