Time,Good Signal Quality(0-100),Mark,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,High Gamma
2024/01/15_09:00:00,100,0,58,52,2.1,6.3,10.4,4.8,8.2,4.5,5.1,3.8
2024/01/15_09:00:01,100,0,62,48,1.8,7.1,9.2,5.3,7.6,5.1,4.7,4.2
2024/01/15_09:00:02,100,0,55,57,2.4,5.8,11.3,6.1,6.9,3.8,6.2,3.5
2024/01/15_09:00:03,100,0,60,50,1.5,8.2,8.6,4.5,9.1,4.2,4.3,4.8
2024/01/15_09:00:04,100,1,53,59,2.8,6.9,12.1,5.8,7.3,3.6,5.8,3.2
2024/01/15_09:00:05,100,0,65,45,1.2,5.4,7.8,4.1,10.4,5.8,3.9,5.1
2024/01/15_09:00:06,100,0,57,54,2.6,7.7,10.9,5.5,7.8,4.1,5.5,3.7
2024/01/15_09:00:07,100,0,61,49,1.9,6.1,9.7,4.9,8.5,4.7,4.6,4.3
2024/01/15_09:00:08,100,0,54,61,3.1,8.5,13.2,6.4,6.5,3.3,6.7,3.1
2024/01/15_09:00:09,100,0,67,43,1.1,5.2,7.4,3.8,11.2,6.3,3.6,5.4
2024/01/15_09:00:10,100,0,59,55,2.3,7.3,11.6,5.7,7.1,3.9,5.9,3.6
2024/01/15_09:00:11,100,0,63,47,1.7,6.6,8.9,4.4,9.3,5.2,4.4,4.6
2024/01/15_09:00:12,100,0,56,58,2.7,8.0,12.4,6.0,6.8,3.5,6.4,3.3
2024/01/15_09:00:13,100,0,70,41,0.9,4.9,6.9,3.5,12.1,7.1,3.3,5.8
2024/01/15_09:00:14,100,0,58,53,2.2,7.5,10.7,5.4,7.5,4.0,5.4,3.8
2024/01/15_09:00:15,100,0,62,50,1.8,6.8,9.5,4.8,8.8,4.8,4.5,4.4
2024/01/15_09:00:16,100,0,55,60,2.9,8.8,13.5,6.6,6.3,3.2,6.9,3.0
2024/01/15_09:00:17,100,0,64,46,1.4,5.6,8.1,4.2,10.0,5.5,4.0,5.0
2024/01/15_09:00:18,100,0,57,55,2.5,7.9,11.1,5.6,7.4,3.8,5.7,3.6
2024/01/15_09:00:19,100,0,61,51,1.9,6.4,9.8,4.7,8.6,4.6,4.7,4.3
2024/01/15_09:00:20,100,0,53,62,3.2,9.1,14.0,6.8,6.1,3.0,7.2,2.9
2024/01/15_09:00:21,100,0,68,42,1.0,5.1,7.2,3.7,11.5,6.6,3.4,5.6
2024/01/15_09:00:22,100,0,60,54,2.1,7.6,10.5,5.3,7.7,4.1,5.3,3.9
2024/01/15_09:00:23,100,0,63,48,1.6,6.7,9.0,4.5,9.2,5.1,4.4,4.5
2024/01/15_09:00:24,100,0,56,57,2.8,8.3,12.7,6.2,6.6,3.4,6.6,3.2
2024/01/15_09:00:25,100,1,71,40,0.8,4.7,6.7,3.4,12.4,7.4,3.2,5.9
2024/01/15_09:00:26,100,0,59,53,2.2,7.4,10.8,5.5,7.3,4.0,5.5,3.8
2024/01/15_09:00:27,100,0,62,49,1.7,6.5,9.3,4.6,8.9,4.9,4.5,4.4
2024/01/15_09:00:28,100,0,54,60,3.0,8.9,13.8,6.7,6.2,3.1,7.0,3.0
2024/01/15_09:00:29,100,0,66,44,1.3,5.5,8.0,4.1,10.6,5.9,3.8,5.2
