Time,Good Signal Quality(0-100),Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,High Gamma
2024/01/15_10:10:00,100,82,28,0.8,3.2,3.4,1.8,14.2,9.6,7.1,5.8
2024/01/15_10:10:01,100,87,24,0.5,2.7,2.6,1.4,16.8,11.2,8.4,6.9
2024/01/15_10:10:02,100,79,31,1.1,3.8,4.1,2.2,12.5,8.3,6.2,5.1
2024/01/15_10:10:03,100,91,21,0.3,2.2,1.9,1.1,18.4,13.1,9.5,7.8
2024/01/15_10:10:04,100,85,26,0.6,2.9,3.0,1.6,15.6,10.4,7.8,6.4
2024/01/15_10:10:05,100,93,19,0.2,1.8,1.5,0.9,20.1,14.5,10.6,8.7
2024/01/15_10:10:06,100,84,27,0.7,3.0,3.2,1.7,15.0,9.9,7.5,6.1
2024/01/15_10:10:07,100,80,30,1.0,3.5,3.8,2.0,13.2,8.8,6.6,5.4
2024/01/15_10:10:08,100,89,22,0.4,2.4,2.2,1.2,17.6,12.0,8.9,7.3
2024/01/15_10:10:09,100,86,25,0.6,2.8,2.8,1.5,16.2,10.9,8.1,6.7
2024/01/15_10:10:10,100,94,18,0.2,1.7,1.4,0.8,20.8,15.1,11.0,9.0
2024/01/15_10:10:11,100,83,28,0.8,3.1,3.3,1.8,14.6,9.7,7.3,5.9
2024/01/15_10:10:12,100,88,23,0.4,2.5,2.3,1.3,17.0,11.5,8.6,7.1
2024/01/15_10:10:13,100,78,32,1.2,4.0,4.4,2.4,11.8,7.8,5.9,4.8
2024/01/15_10:10:14,100,85,25,0.6,2.8,2.9,1.6,15.4,10.2,7.7,6.3
2024/01/15_10:10:15,100,95,17,0.1,1.5,1.2,0.7,21.5,15.7,11.4,9.3
2024/01/15_10:10:16,100,84,26,0.7,2.9,3.1,1.7,15.2,10.1,7.6,6.2
2024/01/15_10:10:17,100,90,21,0.3,2.1,1.8,1.0,18.9,13.6,9.9,8.1
2024/01/15_10:10:18,100,82,29,0.9,3.3,3.6,1.9,13.8,9.2,6.9,5.7
2024/01/15_10:10:19,100,96,16,0.1,1.4,1.1,0.6,22.2,16.3,11.8,9.6
2024/01/15_10:10:20,100,87,24,0.5,2.6,2.5,1.4,16.5,11.0,8.3,6.8
2024/01/15_10:10:21,100,92,20,0.2,1.9,1.6,0.9,19.5,14.1,10.2,8.4
2024/01/15_10:10:22,100,83,27,0.8,3.2,3.3,1.8,14.8,9.8,7.4,6.0
2024/01/15_10:10:23,100,89,22,0.4,2.4,2.1,1.2,17.3,11.7,8.7,7.2
2024/01/15_10:10:24,100,97,15,0.1,1.3,1.0,0.5,22.9,16.9,12.2,9.9
2024/01/15_10:10:25,100,85,25,0.6,2.7,2.7,1.5,15.8,10.5,7.9,6.5
2024/01/15_10:10:26,100,91,20,0.3,2.0,1.7,1.0,19.1,13.9,10.1,8.2
2024/01/15_10:10:27,100,84,27,0.7,3.0,3.1,1.7,15.3,10.2,7.6,6.2
2024/01/15_10:10:28,100,88,23,0.4,2.3,2.2,1.2,17.1,11.6,8.6,7.0
2024/01/15_10:10:29,100,95,17,0.1,1.6,1.3,0.8,21.8,15.9,11.5,9.4
