Time,Good Signal Quality(0-100),Mark,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,High Gamma
2024/01/15_10:00:00,100,0,52,58,2.3,7.1,11.2,5.4,7.8,4.3,5.0,3.7
2024/01/15_10:00:01,100,0,55,54,1.9,6.4,9.8,4.8,8.4,4.8,4.6,4.1
2024/01/15_10:00:02,100,0,48,62,2.8,8.0,12.6,6.1,6.9,3.7,5.8,3.3
2024/01/15_10:00:03,100,0,57,50,1.6,5.8,8.9,4.2,9.6,5.4,4.2,4.6
2024/01/15_10:00:04,100,0,50,60,2.6,7.6,11.9,5.8,7.2,3.9,5.5,3.5
2024/01/15_10:00:05,100,1,59,47,1.4,5.3,8.1,3.9,10.3,5.9,3.8,4.9
2024/01/15_10:00:06,100,0,53,56,2.2,7.3,10.8,5.2,7.9,4.2,5.1,3.8
2024/01/15_10:00:07,100,0,56,52,1.8,6.6,9.4,4.6,8.8,4.9,4.4,4.3
2024/01/15_10:00:08,100,0,47,63,3.0,8.4,13.1,6.3,6.6,3.5,6.1,3.2
2024/01/15_10:00:09,100,0,60,45,1.2,5.0,7.5,3.6,11.0,6.4,3.5,5.2
2024/01/15_10:00:10,100,0,51,59,2.4,7.8,11.5,5.6,7.3,4.0,5.3,3.6
2024/01/15_10:00:11,100,0,54,55,2.0,6.9,10.1,4.9,8.6,4.7,4.7,4.2
2024/01/15_10:00:12,100,0,49,61,2.7,8.2,12.4,6.0,6.8,3.6,5.9,3.3
2024/01/15_10:00:13,100,0,61,44,1.1,4.8,7.2,3.5,11.5,6.7,3.3,5.4
2024/01/15_10:00:14,100,0,52,57,2.3,7.5,11.0,5.3,7.7,4.1,5.2,3.7
2024/01/15_10:00:15,100,0,55,53,1.9,6.7,9.6,4.7,8.9,5.0,4.5,4.3
2024/01/15_10:00:16,100,0,48,64,3.1,8.7,13.4,6.5,6.4,3.4,6.3,3.1
2024/01/15_10:00:17,100,0,58,49,1.5,5.5,8.4,4.1,10.0,5.6,4.0,4.8
2024/01/15_10:00:18,100,0,51,58,2.3,7.7,11.3,5.5,7.5,4.0,5.3,3.7
2024/01/15_10:00:19,100,0,54,54,1.9,6.8,9.9,4.8,8.7,4.8,4.6,4.2
2024/01/15_10:00:20,100,0,47,65,3.2,9.0,13.9,6.7,6.2,3.3,6.5,3.0
2024/01/15_10:00:21,100,0,62,43,1.0,4.6,7.0,3.4,11.8,7.0,3.2,5.6
2024/01/15_10:00:22,100,0,52,56,2.2,7.4,10.7,5.2,7.8,4.2,5.1,3.8
2024/01/15_10:00:23,100,0,55,52,1.8,6.5,9.3,4.5,8.9,5.1,4.4,4.4
2024/01/15_10:00:24,100,0,49,62,2.8,8.3,12.8,6.2,6.7,3.5,6.0,3.2
2024/01/15_10:00:25,100,1,63,42,0.9,4.4,6.8,3.3,12.1,7.3,3.1,5.7
2024/01/15_10:00:26,100,0,52,57,2.2,7.6,11.1,5.4,7.6,4.1,5.2,3.8
2024/01/15_10:00:27,100,0,55,53,1.9,6.6,9.5,4.6,8.8,4.9,4.5,4.3
2024/01/15_10:00:28,100,0,48,63,2.9,8.8,13.6,6.6,6.3,3.4,6.2,3.1
2024/01/15_10:00:29,100,0,57,48,1.6,5.7,8.7,4.2,9.8,5.5,4.1,4.7
